# BONZAI CONFIDENTIAL
# This map was auto generated

name: firstblood
size: 25, 25
theme: desert
playercount: 2

players:
    <0, 24, P0>
    <24, 0, P1>

castles:
    <12, 11, C0>

villages:
    <0, 0, V0>
    <24, 24, V1>

rally:
    <0, 11, R0>
    <12, 0, R1>
    <12, 24, R2>
    <24, 11, R3>

paths:
    <V0, R0, 10>
    <R0, P0, 12>
    <V0, R1, 11>
    <R0, C0, 11>
    <P0, R2, 11>
    <R1, C0, 10>
    <C0, R2, 12>
    <R1, P1, 11>
    <C0, R3, 11>
    <R2, V1, 11>
    <P1, R3, 10>
    <R3, V1, 12>
