# BONZAI CONFIDENTIAL
# This map was auto generated

name: Square Map
size: 48, 25
theme: DEFAULT
playercount: 2

players:
    <3, 2, 26.565052>
    <43, 2, 151.07358>

repeaters:
    <3, 6, 17.198542>
    <3, 9, 9.462322>
    <3, 12, 1.3639276>
    <3, 15, -6.788975>
    <3, 18, -14.6763935>
    <3, 22, -24.34109>
    <7, 10, 8.365887>
    <8, 2, 33.274887>
    <8, 18, -18.970407>
    <8, 22, -30.699722>
    <12, 18, -24.623566>
    <12, 22, -38.367485>
    <16, 2, 52.696053>
    <17, 22, -53.615646>
    <23, 2, 84.55967>
    <23, 10, 68.19859>
    <29, 22, 242.24146>
    <30, 2, 119.74488>
    <34, 18, 208.81079>
    <34, 22, 223.5312>
    <38, 2, 143.1301>
    <38, 18, 201.44774>
    <38, 22, 214.1597>
    <39, 10, 170.53767>
    <43, 6, 161.1139>
    <43, 9, 169.56253>
    <43, 12, 178.49257>
    <43, 15, 187.49586>
    <43, 18, 196.14433>
    <43, 22, 206.56505>

targets:
    <7, 5>
    <22, 18>
    <22, 22>
    <24, 18>
    <24, 22>
    <39, 5>

walls:
    <5, 4>
    <5, 5>
    <5, 6>
    <5, 7>
    <5, 8>
    <5, 9>
    <5, 10>
    <5, 11>
    <5, 12>
    <5, 13>
    <5, 16>
    <5, 20>
    <6, 4>
    <6, 16>
    <6, 20>
    <7, 4>
    <7, 20>
    <8, 4>
    <8, 20>
    <9, 4>
    <9, 8>
    <9, 20>
    <10, 4>
    <10, 8>
    <10, 16>
    <10, 20>
    <11, 4>
    <11, 8>
    <11, 16>
    <11, 20>
    <12, 4>
    <12, 8>
    <12, 16>
    <12, 20>
    <13, 4>
    <13, 8>
    <13, 16>
    <13, 20>
    <14, 4>
    <14, 8>
    <14, 16>
    <14, 20>
    <15, 4>
    <15, 8>
    <15, 16>
    <15, 20>
    <16, 4>
    <16, 8>
    <16, 16>
    <16, 20>
    <17, 4>
    <17, 8>
    <17, 16>
    <17, 20>
    <18, 4>
    <18, 8>
    <18, 16>
    <18, 20>
    <19, 4>
    <19, 8>
    <19, 16>
    <19, 20>
    <20, 4>
    <20, 8>
    <20, 16>
    <20, 20>
    <21, 4>
    <21, 8>
    <21, 16>
    <21, 20>
    <22, 8>
    <22, 16>
    <22, 20>
    <23, 16>
    <23, 20>
    <24, 8>
    <24, 16>
    <24, 20>
    <25, 4>
    <25, 8>
    <25, 16>
    <25, 20>
    <26, 4>
    <26, 8>
    <26, 16>
    <26, 20>
    <27, 4>
    <27, 8>
    <27, 16>
    <27, 20>
    <28, 4>
    <28, 8>
    <28, 16>
    <28, 20>
    <29, 4>
    <29, 8>
    <29, 16>
    <29, 20>
    <30, 4>
    <30, 8>
    <30, 16>
    <30, 20>
    <31, 4>
    <31, 8>
    <31, 16>
    <31, 20>
    <32, 4>
    <32, 8>
    <32, 16>
    <32, 20>
    <33, 4>
    <33, 8>
    <33, 16>
    <33, 20>
    <34, 4>
    <34, 8>
    <34, 16>
    <34, 20>
    <35, 4>
    <35, 8>
    <35, 16>
    <35, 20>
    <36, 4>
    <36, 8>
    <36, 16>
    <36, 20>
    <37, 4>
    <37, 8>
    <37, 20>
    <38, 4>
    <38, 20>
    <39, 4>
    <39, 20>
    <40, 4>
    <40, 16>
    <40, 20>
    <41, 4>
    <41, 5>
    <41, 6>
    <41, 7>
    <41, 8>
    <41, 9>
    <41, 10>
    <41, 11>
    <41, 12>
    <41, 13>
    <41, 16>
    <41, 20>
