# BONZAI CONFIDENTIAL
# This map was auto generated

name: Stress Test
size: 50, 25
theme: DEFAULT
playercount: 2

players:
    <25, 1, 346.09644>
    <25, 23, 40.75651>

repeaters:
    <1, 1, 257.729>
    <1, 9, 169.19644>
    <1, 13, 55.25201>
    <1, 17, 70.450005>
    <1, 23, 19.673046>
    <3, 1, 327.7567>
    <3, 3, 320.151>
    <3, 11, 242.30461>
    <3, 15, 265.62473>
    <3, 19, 31.863083>
    <3, 21, 317.8048>
    <8, 1, 357.82785>
    <8, 5, 149.0177>
    <8, 7, 359.42307>
    <8, 9, 201.55133>
    <8, 11, 313.40518>
    <8, 13, 357.32382>
    <8, 15, 329.72208>
    <8, 17, 26.055733>
    <8, 19, 3.3780196>
    <8, 21, 274.74728>
    <8, 23, 335.22992>
    <13, 3, 302.7915>
    <13, 5, 18.637142>
    <13, 7, 87.14172>
    <13, 9, 41.860928>
    <13, 11, 160.79657>
    <13, 13, 221.6004>
    <13, 15, 322.2838>
    <13, 17, 61.521294>
    <13, 19, 21.575531>
    <13, 21, 18.67874>
    <14, 1, 255.85013>
    <18, 1, 273.67517>
    <18, 3, 286.23392>
    <18, 5, 347.52524>
    <18, 7, 92.24557>
    <18, 9, 261.24985>
    <18, 11, 288.95773>
    <18, 13, 4.6336923>
    <18, 15, 279.35532>
    <18, 17, 10.504398>
    <18, 19, 299.80475>
    <18, 21, 307.92996>
    <18, 23, 125.26137>
    <23, 1, 39.081516>
    <23, 3, 268.47894>
    <23, 5, 52.67742>
    <23, 7, 102.67466>
    <23, 9, 170.15604>
    <23, 11, 321.87463>
    <23, 13, 33.66026>
    <23, 15, 26.428274>
    <23, 17, 312.56003>
    <23, 19, 125.36175>
    <23, 21, 327.17047>
    <28, 1, 53.31408>
    <28, 3, 349.8026>
    <28, 5, 28.538452>
    <28, 7, 115.704475>
    <28, 9, 206.91736>
    <28, 11, 330.5292>
    <28, 13, 200.50967>
    <28, 15, 216.96977>
    <28, 17, 67.0>
    <28, 19, 175.13037>
    <28, 21, 325.63745>
    <28, 23, 160.50475>
    <33, 1, 129.30684>
    <33, 3, 157.53503>
    <33, 5, 319.3681>
    <33, 7, 234.4416>
    <33, 9, 330.9192>
    <33, 11, 156.23685>
    <33, 13, 306.4056>
    <33, 15, 230.90923>
    <33, 17, 220.22096>
    <33, 19, 334.4501>
    <33, 21, 265.4293>
    <38, 1, 134.15479>
    <38, 3, 325.8481>
    <38, 5, 101.47327>
    <38, 7, 237.14833>
    <38, 9, 136.97998>
    <38, 11, 62.90861>
    <38, 13, 59.221237>
    <38, 15, 143.43518>
    <38, 17, 49.6537>
    <38, 19, 17.895155>
    <38, 21, 203.17914>
    <38, 23, 319.32758>
    <43, 1, 173.28615>
    <43, 3, 115.3185>
    <43, 5, 274.77612>
    <43, 7, 48.755558>
    <43, 9, 321.96182>
    <43, 11, 173.01672>
    <43, 13, 249.52707>
    <43, 15, 307.2005>
    <43, 17, 161.53064>
    <43, 19, 336.5919>
    <43, 21, 85.73375>
    <46, 7, 272.69397>
    <48, 1, 330.30762>
    <48, 3, 74.61622>
    <48, 5, 290.58807>
    <48, 7, 75.094795>
    <48, 9, 11.3572>
    <48, 11, 197.38606>
    <48, 13, 270.35788>
    <48, 17, 346.69977>
    <48, 19, 327.9428>
    <48, 21, 64.84164>

targets:
    <3, 5>
    <3, 9>
    <3, 13>
