# BONZAI CONFIDENTIAL
# This map was auto generated

name: Es
size: 79, 59
theme: planet
playercount: 2

players:
    <5, 29, P0>
    <73, 29, P1>

castles:
    <39, 7, C0>
    <39, 15, C1>
    <39, 45, C2>
    <39, 52, C3>

villages:
    <19, 30, V0>
    <29, 15, V1>
    <29, 45, V2>
    <34, 30, V3>
    <44, 30, V4>
    <49, 15, V5>
    <49, 45, V6>
    <59, 30, V7>

rally:
    <8, 23, R0>
    <8, 30, R1>
    <8, 37, R2>
    <15, 23, R3>
    <15, 30, R4>
    <12, 37, R5>
    <12, 30, R6>
    <19, 37, R7>
    <25, 30, R8>
    <19, 23, R10>
    
    <70, 23, R11>
    <70, 30, R12>
    <70, 37, R13>
    <66, 23, R14>
    <66, 30, R15>
    <63, 30, R16>
    <63, 37, R17>
    <59, 37, R18>
    <59, 23, R19>
    <55, 30, R20>
    
    <29, 7, R21> 
    <49, 7, R22>
    <29, 52, R23>
    <49, 52, R24>
    <19, 45, R25>
    <19, 15, R26>
    <59, 15, R27>
    <59, 45, R28>
    <44, 45, R29>
    <34, 45, R30>
    <34, 15, R31>
    <44, 15, R32>
    <39, 23, R33>
    <39, 37, R34>
    <29, 23, R35>
    <29, 37, R36>
    <49, 37, R37>
    <49, 23, R38>
    <32, 30, R39>
    <36, 30, R40>
    <42, 30, R41>
    <46, 30, R42>
    <44, 37, R43>
    <44, 23, R44>
    <34, 23, R45>
    <34, 37, R46>
    
paths:
    <P0, R0, 0>
    <P0, R2, 0>
    <R2, R5, 0>
    <R5, R7, 0>
    <R5, R4, 0>
    <R4, V0, 0>
    <R7, R8, 0>
    <R10, R8, 0>
    <R3, R10, 0>
    <R3, R6, 0>
    <R6, R1, 0>
    <R3, R0, 0>
    
    <P1, R11, 0>
    <P1, R13, 0>
    <R11, R14, 0>
    <R14, R16, 0>
    <R16, V7, 0>
    <R14, R19, 0>
    <R13, R17, 0>
    <R17, R15, 0>
    <R15, R12, 0>
    <R17, R18, 0>
    <R18, R20, 0>
    <R19, R20, 0>
    
    <R19, R27, 0>
    <R18, R28, 0>
    <R27, R22, 0>
    <R28, R24, 0>
    <R22, R32, 0>
    <R24, R29, 0>
    <R29, R43, 0>
    <R32, R44, 0>
    <R43, R42, 0>
    <R44, R42, 0>
    <R42, V4, 0>
    <R41, V4, 0>
    <R44, V4, 0>
    <R43, V4, 0>
    <R44, R41, 0>
    <R43, R41, 0>
    <R42, R37, 0>
    <R37, V6, 0>
    <R20, R38, 0>
    <R38, V5, 0>
   
    
    
    
    <R32, C0, 0>
    <R29, C3, 0>
    <R31, C0, 0>
    <R30, C3, 0>
    <R30, R46, 0>
    <R31, R45, 0>
    <R45, R40, 0>
    <R46, R40, 0>
    <R40, R34, 0>
    <R34, C2, 0>
    <R41, R33, 0>
    <R33, C1, 0>
    <R46, V3, 0>
    <R40, V3, 0>
    <R45, V3, 0>
    <R46, R39, 0>
    <R45, R39, 0>
    <R39, V3, 0>
    
    <R30, R23, 0>
    <R31, R21, 0>
    <R23, R25, 0>
    <R21, R26, 0>
    <R7, R25, 0>
    <R10, R26, 0>
    <R36, V2, 0>
    <R35, V1, 0>
    <R8, R36, 0>
    <R36, V2, 0>
    <R39, R35, 0>
    <R35, V1, 0>
    
    
    
    
    
    
    
    
