# this is a comment describing the map
# BONZAI CONFIDENTIAL

name: Brawl
size: 48, 25 
theme: supernova
playercount: 6
players:
    <1, 1, 0>
    <1, 12, 0>
    <1, 23, 0>
    <47, 1, 180>
    <47, 12, 180>
    <47, 23, 180>
repeaters:
    <13, 1, 0>
    <35, 1, 180>
    <1, 5, 90>
    <13, 5, -90>
    <35, 5, -90>
    <47, 5, 90>
    <1, 8, -90>
    <13, 8, 90>
    <35, 8, 90>
    <47, 8, -90>
    <21, 9, 45>
    <27, 9, 135>
    <8, 11, 180>
    <40, 11, 0>
    
    <13, 12, 0>
    <19, 12, 180>
    <29, 12, 0>
    <35, 12, 180>
    
    <13, 23, 0>
    <35, 23, 180>
    <1, 19, -90>
    <13, 19, 90>
    <35, 19, 90>
    <47, 19, -90>
    <1, 16, 90>
    <13, 16, -90>
    <35, 16, -90>
    <47, 16, 90>
    <21, 15, -45>
    <27, 15, -135>
    <8, 13, 180>
    <40, 13, 0>
targets:
    <23, 2>
    <25, 2>
    <11, 10>
    <15, 10>
    <33, 10>
    <37, 10>
    
    <24, 12>
    
    <23, 22>
    <25, 22>
    <11, 14>
    <15, 14>
    <33, 14>
    <37, 14>
    
walls:
    <11, 2>
    <12, 2>
    <14, 2>
    <15, 2>
    <24, 2>
    <33, 2>
    <34, 2>
    <36, 2>
    <37, 2>
    <12, 3>
    <14, 3>
    <24, 3>
    <34, 3>
    <36, 3>
    <24, 6>
    <24, 7>
    <9, 8>
    <10, 8>
    <11, 8>
    <12, 8>
    <36, 8>
    <37, 8>
    <38, 8>
    <39, 8>
    <9, 9>
    <39, 9>
    <9, 10>
    <12, 10>
    <14, 10>
    <20, 10>
    <24, 10>
    <28, 10>
    <34, 10>
    <36, 10>
    <39, 10>
    <9, 11>
    <11, 11>
    <12, 11>
    <14, 11>
    <15, 11>
    <20, 11>
    <24, 11>
    <28, 11>
    <33, 11>
    <34, 11>
    <36, 11>
    <37, 11>
    <39, 11>
    
    <20, 12>
    <28, 12>
    
    <11, 22>
    <12, 22>
    <14, 22>
    <15, 22>
    <24, 22>
    <33, 22>
    <34, 22>
    <36, 22>
    <37, 22>
    <12, 21>
    <14, 21>
    <24, 21>
    <34, 21>
    <36, 21>
    <24, 18>
    <24, 17>
    <9, 16>
    <10, 16>
    <11, 16>
    <12, 16>
    <36, 16>
    <37, 16>
    <38, 16>
    <39, 16>
    <9, 15>
    <39, 15>
    <9, 14>
    <12, 14>
    <14, 14>
    <20, 14>
    <24, 14>
    <28, 14>
    <34, 14>
    <36, 14>
    <39, 14>
    <9, 13>
    <11, 13>
    <12, 13>
    <14, 13>
    <15, 13>
    <20, 13>
    <24, 13>
    <28, 13>
    <33, 13>
    <34, 13>
    <36, 13>
    <37, 13>
    <39, 13>
    
    
